2026-03-28 21:24:39,716 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,717 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-03-28 21:24:39,718 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-03-28 21:24:39,720 INFO     Listening on TCP address 0.0.0.0:8000
net.ipv4.ip_forward = 1
127.0.0.1:56066 - - [28/Mar/2026:21:25:09] "POST /api/update/" 200 34
127.0.0.1:56074 - - [28/Mar/2026:21:25:09] "POST /api/update/" 200 34
127.0.0.1:56086 - - [28/Mar/2026:21:25:09] "POST /api/update/" 200 34
127.0.0.1:56098 - - [28/Mar/2026:21:25:09] "POST /api/update/" 200 34
127.0.0.1:56102 - - [28/Mar/2026:21:25:09] "POST /api/update/" 200 34
127.0.0.1:56118 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56132 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56140 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56156 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56162 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56172 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56174 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56184 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56196 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56206 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56212 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56226 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56232 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56242 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56252 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56260 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56268 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56282 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56298 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56302 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56310 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56322 - - [28/Mar/2026:21:25:10] "POST /api/update/" 200 34
127.0.0.1:56336 - - [28/Mar/2026:21:25:11] "POST /api/update/" 200 34
127.0.0.1:56350 - - [28/Mar/2026:21:25:11] "POST /api/update/" 200 34
127.0.0.1:56362 - - [28/Mar/2026:21:25:11] "POST /api/update/" 200 34
127.0.0.1:56368 - - [28/Mar/2026:21:25:11] "POST /api/update/" 200 34
127.0.0.1:56384 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56386 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56394 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56410 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56420 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56428 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56438 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56444 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56458 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56470 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56478 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56480 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56492 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56506 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56512 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56528 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56544 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56558 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56560 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56562 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56570 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56578 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56590 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56604 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56616 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56626 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56632 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56646 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56654 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56660 - - [28/Mar/2026:21:25:12] "POST /api/update/" 200 34
127.0.0.1:56668 - - [28/Mar/2026:21:25:13] "POST /api/update/" 200 34
127.0.0.1:56670 - - [28/Mar/2026:21:25:13] "POST /api/update/" 200 34
